car,mile,cyl,avg
Datsun 710,22.8,4.0,26.66
Merc 240D,24.4,4.0,26.66
Merc 230,22.8,4.0,26.66
Fiat 128,32.4,4.0,26.66
Honda Civic,30.4,4.0,26.66
Toyota Corolla,33.9,4.0,26.66
Toyota Corona,21.5,4.0,26.66
Fiat X1-9,27.3,4.0,26.66
Porsche 914-2,26.0,4.0,26.66
Lotus Europa,30.4,4.0,26.66
Volvo 142E,21.4,4.0,26.66
Mazda RX4,21.0,6.0,19.74
Mazda RX4 Wag,21.0,6.0,19.74
Hornet 4 Drive,21.4,6.0,19.74
Valiant,18.1,6.0,19.74
Merc 280,19.2,6.0,19.74
Merc 280C,17.8,6.0,19.74
Ferrari Dino,19.7,6.0,19.74
Hornet Sportabout,18.7,8.0,15.1
Duster 360,14.3,8.0,15.1
Merc 450SE,16.4,8.0,15.1
Merc 450SL,17.3,8.0,15.1
Merc 450SLC,15.2,8.0,15.1
Cadillac Fleetwood,10.4,8.0,15.1
Lincoln Continental,10.4,8.0,15.1
Chrysler Imperial,14.7,8.0,15.1
Dodge Challenger,15.5,8.0,15.1
AMC Javelin,15.2,8.0,15.1
Camaro Z28,13.3,8.0,15.1
Pontiac Firebird,19.2,8.0,15.1
Ford Pantera L,15.8,8.0,15.1
Maserati Bora,15.0,8.0,15.1
